league,n_matches,n_players,total_minutes,avg_xG_p90,avg_xA_p90,avg_shots_p90,avg_key_passes_p90,avg_goals_p90,avg_assists_p90,avg_npxG_p90,avg_xGChain_p90,avg_xGBuildup_p90,xG_p90_std,xG_p90_median,home_advantage_delta,avg_goals_per_match,close_game_pct,league_clinical_rate
Bundesliga,424,470,603578,0.1506,0.108,1.175,0.8741,0.1385,0.0969,0.1412,0.434,0.263,0.3712,0.0843,0.0259,3.0943,0.5717,0.9198
La Liga,532,587,759932,0.132,0.0924,1.0812,0.8005,0.1164,0.0807,0.1205,0.3845,0.2357,0.2528,0.0677,0.1449,2.6842,0.7136,0.882
Ligue 1,306,516,583943,0.1503,0.1068,1.1208,0.8403,0.131,0.0911,0.1376,0.4562,0.2818,0.3267,0.07,0.1358,2.9771,0.5222,0.8715
Premier League,694,562,777869,0.1498,0.1098,1.1969,0.8893,0.1314,0.0961,0.1423,0.4417,0.2663,0.4661,0.0699,0.065,2.9006,0.5992,0.8775
Serie A,447,563,725374,0.1277,0.0916,1.1105,0.8351,0.1123,0.0814,0.1178,0.3656,0.2234,0.307,0.0651,0.079,2.6734,0.6975,0.8791
