match_id,gk_player_id,gk_name,gk_team,shots_faced,shots_on_target,goals_conceded,saves,save_pct,xGA,npxGA,goals_prevented,np_goals_prevented,penalties_faced,penalties_conceded,penalties_saved,clean_sheet,shots_six_yard,xG_six_yard,goals_six_yard,shots_pen_area,xG_pen_area,goals_pen_area,shots_outside_box,xG_outside_box,goals_outside_box,shots_open_play,xG_open_play,goals_open_play,shots_set_piece,xG_set_piece,goals_set_piece,shots_foot,xG_foot,shots_head,xG_head,gk_home_away,gk_goals_for,gk_goals_against,match_result,h_team,a_team,date,league
27038,9693,Giorgi Mamardashvili,Valencia,9,3,0,3,100.0,0.388,0.388,0.388,0.388,0,0,0,1,1,0.057,0,4,0.284,0,4,0.047,0,7,0.298,0,2,0.09,0,6,0.24,3,0.147,home,2,0,W,Valencia,Girona,2024-09-21 16:30:00,La_Liga
27039,2555,Remiro,Real Sociedad,15,2,0,2,100.0,0.953,0.953,0.953,0.953,0,0,0,1,1,0.103,0,7,0.682,0,7,0.168,0,9,0.662,0,6,0.291,0,11,0.657,4,0.296,away,0,0,D,Real Valladolid,Real Sociedad,2024-09-21 12:00:00,La_Liga
27039,9692,Karl Hein,Real Valladolid,14,4,0,3,75.0,1.436,1.436,1.436,1.436,0,0,0,1,2,0.631,0,9,0.751,0,3,0.055,0,13,1.411,0,1,0.026,0,11,0.78,3,0.656,home,0,0,D,Real Valladolid,Real Sociedad,2024-09-21 12:00:00,La_Liga
27040,5057,Jasper Cillessen,Las Palmas,13,4,2,2,50.0,1.972,1.228,-0.028,0.228,1,1,0,0,0,0.0,0,12,1.95,2,1,0.022,0,8,0.971,1,4,0.257,0,11,1.817,2,0.155,away,1,2,L,Osasuna,Las Palmas,2024-09-21 14:15:00,La_Liga
27040,7859,Sergio Herrera,Osasuna,11,6,1,5,83.33333333333334,1.283,1.283,0.283,0.283,0,0,0,0,1,0.243,1,8,1.006,0,2,0.034,0,8,0.952,0,3,0.331,1,9,0.972,2,0.311,home,2,1,W,Osasuna,Las Palmas,2024-09-21 14:15:00,La_Liga
27041,680,Thibaut Courtois,Real Madrid,10,1,0,1,100.0,0.319,0.319,0.319,0.319,0,0,0,0,0,0.0,0,5,0.233,0,5,0.086,0,6,0.158,0,4,0.161,0,8,0.259,2,0.06,home,4,1,W,Real Madrid,Espanyol,2024-09-21 19:00:00,La_Liga
27041,9773,Joan García,Espanyol,32,14,4,10,71.42857142857143,4.897,4.154,0.897,1.154,1,1,0,0,2,1.313,1,19,3.244,3,11,0.34,0,26,2.925,2,5,1.229,1,29,4.626,3,0.271,away,1,4,L,Real Madrid,Espanyol,2024-09-21 19:00:00,La_Liga
27042,9698,Diego Conde,Villarreal,9,2,1,1,50.0,0.355,0.355,-0.645,-0.645,0,0,0,0,0,0.0,0,4,0.186,0,5,0.169,1,6,0.251,0,3,0.104,1,8,0.327,1,0.028,away,2,1,W,Espanyol,Villarreal,2024-09-26 17:00:00,La_Liga
27042,9773,Joan García,Espanyol,15,4,2,2,50.0,1.97,1.97,-0.03,-0.03,0,0,0,0,2,0.826,1,6,0.991,1,7,0.153,0,11,0.909,1,4,1.061,1,13,1.449,2,0.521,home,1,2,L,Espanyol,Villarreal,2024-09-26 17:00:00,La_Liga
27043,2415,David Soria,Getafe,15,4,1,3,75.0,2.208,2.208,1.208,1.208,0,0,0,0,2,1.172,1,4,0.65,0,9,0.386,0,10,1.483,1,5,0.725,0,14,1.804,1,0.404,away,0,1,L,Barcelona,Getafe,2024-09-25 19:00:00,La_Liga
27043,7287,Iñaki Peña,Barcelona,7,1,0,1,100.0,0.93,0.93,0.93,0.93,0,0,0,1,0,0.0,0,5,0.906,0,2,0.024,0,6,0.887,0,1,0.043,0,5,0.447,2,0.483,home,1,0,W,Barcelona,Getafe,2024-09-25 19:00:00,La_Liga
27044,973,Paulo Gazzaniga,Girona,2,0,0,0,,0.378,0.378,0.378,0.378,0,0,0,1,0,0.0,0,1,0.346,0,1,0.032,0,2,0.378,0,0,0.0,0,2,0.378,0,0.0,home,0,0,D,Girona,Rayo Vallecano,2024-09-25 17:00:00,La_Liga
27044,12298,Augusto Batalla,Rayo Vallecano,11,2,0,1,50.0,2.159,2.159,2.159,2.159,0,0,0,1,3,1.722,0,3,0.272,0,5,0.164,0,6,1.454,0,5,0.705,0,9,1.581,2,0.578,away,0,0,D,Girona,Rayo Vallecano,2024-09-25 17:00:00,La_Liga
27045,2555,Remiro,Real Sociedad,10,4,1,3,75.0,1.569,0.826,0.569,0.826,1,1,0,0,0,0.0,0,8,1.508,1,2,0.061,0,4,0.643,0,5,0.183,0,5,0.911,5,0.658,away,0,1,L,Mallorca,Real Sociedad,2024-09-17 19:00:00,La_Liga
27045,9839,Leo Román,Mallorca,13,5,0,5,100.0,0.499,0.499,0.499,0.499,0,0,0,1,0,0.0,0,6,0.268,0,7,0.231,0,10,0.408,0,3,0.091,0,13,0.499,0,0.0,home,1,0,W,Mallorca,Real Sociedad,2024-09-17 19:00:00,La_Liga
27046,250,Ørjan Nyland,Sevilla,9,2,1,1,50.0,0.412,0.412,-0.588,-0.588,0,0,0,0,1,0.075,0,3,0.226,1,5,0.111,0,4,0.152,1,5,0.26,0,6,0.217,3,0.194,home,2,1,W,Sevilla,Real Valladolid,2024-09-24 17:00:00,La_Liga
27046,9692,Karl Hein,Real Valladolid,22,5,1,4,80.0,1.689,1.689,0.689,0.689,0,0,0,0,0,0.0,0,13,1.364,1,9,0.325,0,20,1.65,1,2,0.039,0,20,1.644,2,0.045,away,1,2,L,Sevilla,Real Valladolid,2024-09-24 17:00:00,La_Liga
