,total_goals_ATT_MID,total_goals_DEF,total_goals_FWD,total_goals_MID,total_key_passes_ATT_MID,total_key_passes_DEF,total_key_passes_FWD,total_key_passes_MID,total_shots_ATT_MID,total_shots_DEF,total_shots_FWD,total_shots_MID,total_xA_ATT_MID,total_xA_DEF,total_xA_FWD,total_xA_MID,total_xG_ATT_MID,total_xG_DEF,total_xG_FWD,total_xG_MID,total_xGBuildup_ATT_MID,total_xGBuildup_DEF,total_xGBuildup_FWD,total_xGBuildup_MID,total_xGChain_ATT_MID,total_xGChain_DEF,total_xGChain_FWD,total_xGChain_MID
goals_conceded,-0.04996749532539758,-0.008674830626729538,-0.06363114483845614,-0.03189752339302559,-0.07675462281396722,-0.057281610387266,-0.05957304389196049,-0.08490340648037079,-0.06593430188792371,-0.05674149936190196,-0.10560110070478049,-0.0731988539467886,-0.09027984884659897,-0.07790107617451118,-0.06923965003053785,-0.09616222490626546,-0.08269608339426698,-0.046134659427902396,-0.1107345913054045,-0.0625904511949444,-0.08243570783249844,-0.11924776599361271,-0.08845112176319386,-0.12251530423714883,-0.099206391390458,-0.12894283262878375,-0.1181068795650754,-0.1345901321753801
saves,-0.037818368019081124,-0.02052507715517736,-0.03439517347105264,-0.011064656389496634,-0.08246519783898916,-0.14340650659755588,-0.06671034532030107,-0.10879961788405977,-0.10034195079537787,-0.12814282801547597,-0.13070553122654674,-0.07534404394495067,-0.06403687358161951,-0.08750190875999378,-0.0479227430842025,-0.07842819173817475,-0.08251792108510149,-0.06912186562238373,-0.10574545123655196,-0.04824838251435477,-0.07127574768472661,-0.11776922156534052,-0.04840634265779367,-0.10009221744747564,-0.07983352790396682,-0.11748327304138229,-0.0822046044249319,-0.097002793327191
save_pct,0.005966454808779484,-0.0011420271309271074,0.030187802182405302,0.019597997812833827,-0.0048512556984364585,-0.050403887521807585,0.013106333796446245,0.005126786570050413,-0.02273585663500397,-0.02457902993569855,0.0007927444194358702,-0.002440468548580164,0.01624502666073046,-0.005247096441432445,0.032840647284989005,0.03236444964156396,0.004346612954430143,0.008900239797958271,0.025193554025496234,0.007884343247345273,-0.009799258242850387,0.006067310171917713,0.04007011331064429,0.02500053570959819,0.005331509515984933,0.01308995352970201,0.048170566745282736,0.03658060261277888
xGA,-0.09069458607847729,-0.04602434079441625,-0.09128478862766845,-0.030590984714523956,-0.1109113249479328,-0.1544145039188385,-0.09720549076599555,-0.13164411456754327,-0.11656831578218416,-0.139227299828099,-0.1715935659809365,-0.09012768492710667,-0.1172848339177438,-0.129542179902428,-0.089324596486575,-0.1256767615134773,-0.12952944518961823,-0.10283767642047827,-0.15258876436795085,-0.072756510456549,-0.10740449767244839,-0.16870167507186143,-0.1024084840250739,-0.16117582226730257,-0.12761349152302306,-0.17843848609535196,-0.14174331504050852,-0.16434996247855727
goals_prevented,-0.028877178045296,-0.03545444054982011,-0.012433682126289139,0.009017373302681776,-0.015802013463617783,-0.08381862307254631,-0.023446041915201627,-0.026485344522288946,-0.034980890881075526,-0.06922352025138266,-0.0408413505354978,0.0006593546509209494,-0.005345398718478508,-0.03310317994134112,-0.0034698866804262437,-0.00644769097464461,-0.027111603485631696,-0.04586437866005235,-0.015333930681965839,0.0048962272433379925,-0.005192800450798952,-0.02091828668973034,0.007330441976252729,-0.00927791101020352,-0.0045991005985797,-0.01861871848926088,0.004761932019654083,0.0025867449690800816
clean_sheet,0.029863355173871377,-0.0015504181845424545,0.04448503454345913,0.04449110460035248,0.046482511676416635,0.034151064761391556,0.03877403032125391,0.048490902983754844,0.03560058016544403,0.024113914997805727,0.056361510172320405,0.03412868415403497,0.06095874750268097,0.06276087095616706,0.059130698987889044,0.06240746035389773,0.045111058832316454,0.03054369601873169,0.08252456860728172,0.05483822643669309,0.0471128286503435,0.07418120952850711,0.06985166511586445,0.09398241316323802,0.06291107729536112,0.08444176772899595,0.09339619010707025,0.09890993094401701
