team,league,n_players,total_team_minutes,team_avg_xG_p90,team_avg_xA_p90,team_avg_shots_p90,team_avg_key_passes_p90,team_avg_xGChain_p90,team_avg_xGBuildup_p90,team_win_rate,team_draw_rate,xG_herfindahl,xA_herfindahl,home_away_xG_multiplier,vs_top_win_rate,xG_contributors_5pct,team_buildup_ratio,primary_gk_id,primary_gk_name,gk_matches,gk_save_pct,gk_goals_prevented,gk_xGA,gk_goals_conceded,gk_clean_sheets,gk_clean_sheet_pct,gk_adversity_index,gk_ha_save_delta,gk_consistency_cv,gk_best_zone,gk_loss_resilience,gk_depth,total_gk_matches,gk_goals_prevented_per90
"Fiorentina,Torino",Serie A,1,1585,0.0361,0.1847,0.8517,1.7603,0.224,0.1421,0.2174,0.3478,1.0,1.0,0.0,0.0,1,0.6347,,,,,,,,,,,,,,,,,
Freiburg,Bundesliga,25,33576,0.1505,0.099,1.0936,0.7586,0.4013,0.2339,0.4706,0.2059,0.1115,0.1058,0.9669,0.1,6,0.583,10160.0,Noah Atubolu,26.0,66.1,0.4370000000000005,37.437,37.0,10.0,38.5,-0.095,-5.4,65.073,pen_area,50.9,2.0,34.0,0.017
"Freiburg,St. Pauli",Bundesliga,1,1246,0.1548,0.1422,1.3724,1.3002,0.3155,0.1036,0.4091,0.3182,1.0,1.0,0.0,0.0,1,0.3283,10160.0,Noah Atubolu,26.0,66.1,0.4370000000000005,37.437,37.0,10.0,38.5,-0.095,-5.4,65.073,pen_area,50.9,2.0,34.0,0.017
Fulham,Premier League,24,34537,0.1463,0.1143,1.2795,0.9981,0.4794,0.2979,0.3947,0.2368,0.1227,0.1075,0.9265,0.5,7,0.6213,,,,,,,,,,,,,,,,,
Genoa,Serie A,33,36510,0.0944,0.0687,0.9244,0.6828,0.2674,0.1681,0.2632,0.3421,0.0889,0.0994,1.3769,0.0,7,0.6287,,,,,,,,,,,,,,,,,
"Genoa,Parma Calcio 1913",Serie A,1,1499,0.095,0.0075,0.3602,0.2402,0.1466,0.1433,0.3182,0.4545,1.0,1.0,0.0,0.0,1,0.9772,,,,,,,,,,,,,,,,,
"Genoa,Venezia",Serie A,1,407,0.1252,0.0,0.4423,0.0,0.0576,0.0576,0.3,0.6,1.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,,,,,,
Getafe,La Liga,26,34916,0.0933,0.0613,1.0336,0.6856,0.2065,0.1049,0.3137,0.2157,0.1185,0.1096,1.1719,0.0833,7,0.5079,,,,,,,,,,,,,,,,,
"Getafe,Real Betis",La Liga,1,914,0.3631,0.0822,1.8709,0.7877,0.5919,0.1707,0.4583,0.2083,1.0,1.0,0.0,0.0,1,0.2883,,,,,,,,,,,,,,,,,
"Getafe,Villarreal",La Liga,2,2248,0.1441,0.1747,1.081,1.081,0.4545,0.1938,0.5161,0.1613,0.6913,0.6239,0.0,0.2222,2,0.4265,,,,,,,,,,,,,,,,,
Girona,La Liga,29,36282,0.1064,0.0785,0.9228,0.7094,0.3547,0.2426,0.2895,0.2105,0.093,0.0843,1.4609,0.0,7,0.6838,,,,,,,,,,,,,,,,,
"Girona,Villarreal",La Liga,1,1562,0.2545,0.1313,2.0743,1.3828,0.3776,0.1071,0.3214,0.25,1.0,1.0,0.0,0.0,1,0.2836,,,,,,,,,,,,,,,,,
Hoffenheim,Bundesliga,32,33814,0.1221,0.0863,1.1312,0.8437,0.364,0.2175,0.2182,0.2364,0.1292,0.0826,1.6551,0.0625,5,0.5974,73.0,Oliver Baumann,28.0,60.8,0.0520000000000004,51.052,51.0,4.0,14.3,0.127,-6.2,557.061,six_yard,50.6,2.0,34.0,0.002
"Hoffenheim,VfB Stuttgart",Bundesliga,1,767,0.3945,0.2239,2.3468,2.2295,0.7701,0.2162,0.4444,0.1852,1.0,1.0,0.0,0.4444,1,0.2807,73.0,Oliver Baumann,28.0,60.8,0.0520000000000004,51.052,51.0,4.0,14.3,0.127,-6.2,557.061,six_yard,50.6,2.0,34.0,0.002
Holstein Kiel,Bundesliga,27,32592,0.1176,0.0793,0.9969,0.7014,0.3538,0.2202,0.1818,0.1818,0.0955,0.0639,0.9257,0.1,8,0.6224,12931.0,Timon Weiner,24.0,54.1,-8.533,48.467,57.0,2.0,8.3,1.099,5.5,2.615,six_yard,52.3,2.0,33.0,-0.356
Inter,Serie A,23,37076,0.1884,0.1298,1.3836,1.022,0.5542,0.3537,0.6316,0.2368,0.0926,0.0805,1.0869,1.0,7,0.6381,,,,,,,,,,,,,,,,,
"Inter,Monza",Serie A,1,447,0.009,0.0,0.2013,0.0,0.1033,0.1033,0.6,0.0,1.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,,,,,,
"Inter,Roma",Serie A,1,963,0.0402,0.2875,0.9346,1.9626,0.6174,0.346,0.3043,0.3043,1.0,1.0,0.0,0.1667,1,0.5604,,,,,,,,,,,,,,,,,
Ipswich,Premier League,30,36107,0.0919,0.0688,0.8275,0.658,0.28,0.1638,0.1282,0.2564,0.1467,0.1035,1.0215,0.125,4,0.5851,,,,,,,,,,,,,,,,,
Juventus,Serie A,26,35231,0.156,0.1085,1.2773,0.9886,0.4753,0.2988,0.4375,0.3958,0.1174,0.0796,0.9925,0.1111,8,0.6287,,,,,,,,,,,,,,,,,
Las Palmas,La Liga,34,37625,0.0938,0.0662,0.9831,0.72,0.2742,0.164,0.1951,0.2195,0.1255,0.083,1.3902,0.25,6,0.598,,,,,,,,,,,,,,,,,
Lazio,Serie A,23,37035,0.1604,0.1098,1.288,0.9793,0.4517,0.2852,0.4737,0.2895,0.1097,0.0794,1.2906,0.25,6,0.6313,,,,,,,,,,,,,,,,,
"Lazio,Monza",Serie A,1,725,0.0803,0.115,0.9931,1.1172,0.2804,0.1104,0.381,0.0952,1.0,1.0,0.0,0.0,1,0.3938,,,,,,,,,,,,,,,,,
"Lazio,Verona",Serie A,1,1849,0.0094,0.0583,0.292,0.7788,0.2825,0.2263,0.4643,0.1786,1.0,1.0,0.0,0.5,1,0.8008,,,,,,,,,,,,,,,,,
Le Havre,Ligue 1,29,32012,0.1261,0.0705,0.9137,0.6073,0.2749,0.1659,0.2941,0.1176,0.0972,0.096,0.9428,0.0,7,0.6034,,,,,,,,,,,,,,,,,
"Le Havre,Lyon",Ligue 1,1,576,0.0418,0.0448,1.0938,1.0938,0.2062,0.1334,0.6471,0.1765,1.0,1.0,0.0,0.5,1,0.647,,,,,,,,,,,,,,,,,
"Le Havre,Strasbourg",Ligue 1,1,1249,0.0987,0.1201,1.1529,0.6485,0.3563,0.2102,0.3684,0.2105,1.0,1.0,0.0,0.0,1,0.5898,,,,,,,,,,,,,,,,,
Lecce,Serie A,26,34675,0.0849,0.0637,1.0538,0.7527,0.2377,0.1356,0.2105,0.2632,0.179,0.0856,1.2065,0.0,5,0.5706,,,,,,,,,,,,,,,,,
Leganes,La Liga,26,37488,0.0938,0.0588,0.8475,0.5762,0.2134,0.1196,0.2368,0.3421,0.094,0.1208,1.177,0.25,8,0.5603,,,,,,,,,,,,,,,,,
Leicester,Premier League,30,37040,0.0842,0.0679,0.7435,0.5904,0.2733,0.1758,0.2115,0.2308,0.1663,0.0969,1.2983,0.0625,6,0.6432,,,,,,,,,,,,,,,,,
Lens,Ligue 1,29,29464,0.1818,0.1148,1.4387,1.066,0.493,0.2826,0.4412,0.2059,0.0806,0.0765,1.2114,0.3,7,0.5732,,,,,,,,,,,,,,,,,
"Lens,Rennes",Ligue 1,1,2880,0.0,0.0,0.0,0.0,0.1533,0.1533,0.4375,0.1875,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,,,,,
Lille,Ligue 1,26,32517,0.1607,0.1015,1.1376,0.8137,0.5169,0.3366,0.5,0.2647,0.1429,0.0689,0.9951,0.2,5,0.6511,,,,,,,,,,,,,,,,,
Liverpool,Premier League,24,37544,0.2274,0.1697,1.5534,1.225,0.7836,0.4893,0.6579,0.2368,0.1393,0.1066,0.8784,0.6429,6,0.6244,,,,,,,,,,,,,,,,,
Lyon,Ligue 1,26,32835,0.1748,0.13,1.1814,0.9347,0.6014,0.4009,0.5,0.1765,0.1415,0.1121,1.3197,0.25,5,0.6666,,,,,,,,,,,,,,,,,
Mainz 05,Bundesliga,23,34634,0.1586,0.1083,1.159,0.8627,0.4142,0.2244,0.34,0.26,0.1178,0.1022,1.1281,0.3333,7,0.5418,449.0,Robin Zentner,32.0,66.9,8.854,49.854,41.0,9.0,28.1,0.406,-1.3,3.145,pen_area,55.9,2.0,34.0,0.277
Mallorca,La Liga,27,38207,0.1081,0.0728,0.9069,0.6619,0.2662,0.1615,0.3529,0.2549,0.1107,0.1078,1.2361,0.0,7,0.6064,,,,,,,,,,,,,,,,,
Manchester City,Premier League,30,40727,0.1897,0.1422,1.5292,1.1292,0.6459,0.4202,0.4557,0.2405,0.1371,0.0857,1.0609,0.2593,7,0.6506,,,,,,,,,,,,,,,,,
Manchester United,Premier League,30,42643,0.1489,0.1061,1.4077,0.9941,0.4271,0.259,0.3119,0.2569,0.0831,0.0873,1.1027,0.1429,7,0.6065,,,,,,,,,,,,,,,,,
Marseille,Ligue 1,26,29965,0.1724,0.1255,1.2344,0.9912,0.6422,0.4414,0.5882,0.1471,0.1582,0.0941,1.452,0.5,6,0.6874,,,,,,,,,,,,,,,,,
"Marseille,Montpellier",Ligue 1,1,458,0.0089,0.0,0.1965,0.0,0.2634,0.2634,0.5,0.0,1.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,,,,,,
"Marseille,Rennes",Ligue 1,3,4941,0.2306,0.1254,2.0036,0.9107,0.586,0.3021,0.3443,0.0984,0.729,0.515,0.0,0.1818,2,0.5155,,,,,,,,,,,,,,,,,
Monaco,Ligue 1,28,33578,0.2088,0.1586,1.3348,1.0346,0.6404,0.36,0.5294,0.2059,0.0992,0.0806,1.2588,0.5,8,0.5622,,,,,,,,,,,,,,,,,
Montpellier,Ligue 1,31,29787,0.0807,0.0716,0.8823,0.6798,0.239,0.1453,0.1176,0.1176,0.0914,0.1462,1.3917,0.1,8,0.608,,,,,,,,,,,,,,,,,
"Montpellier,Rennes",Ligue 1,1,1696,0.2806,0.2105,2.1757,1.1675,0.6288,0.2029,0.4231,0.1154,1.0,1.0,0.0,0.0,1,0.3228,,,,,,,,,,,,,,,,,
Monza,Serie A,25,26690,0.0693,0.0586,0.7048,0.6272,0.2338,0.1512,0.0789,0.2368,0.126,0.1161,1.1499,0.0,6,0.6469,,,,,,,,,,,,,,,,,
"Monza,Parma Calcio 1913",Serie A,1,1522,0.2412,0.0495,1.6557,0.2957,0.2654,0.0186,0.3333,0.3704,1.0,1.0,0.0,0.0,1,0.07,,,,,,,,,,,,,,,,,
"Monza,Venezia",Serie A,1,439,0.2318,0.021,1.4351,0.615,0.2287,0.1645,0.4444,0.2778,1.0,1.0,0.0,0.0,1,0.719,,,,,,,,,,,,,,,,,
Nantes,Ligue 1,29,32766,0.1228,0.0888,0.9449,0.7004,0.3477,0.1964,0.2353,0.3529,0.1121,0.1265,1.48,0.1,4,0.5649,,,,,,,,,,,,,,,,,
"Nantes,Strasbourg",Ligue 1,1,1823,0.0697,0.038,0.4443,0.1975,0.2527,0.2519,0.1905,0.2381,1.0,1.0,0.0,0.2,1,0.9965,,,,,,,,,,,,,,,,,
Napoli,Serie A,17,33655,0.1342,0.1123,1.1553,0.9547,0.4687,0.312,0.5769,0.2308,0.1363,0.1091,1.4496,0.2308,7,0.6657,,,,,,,,,,,,,,,,,
"Napoli,Venezia",Serie A,1,1523,0.1275,0.1398,1.0046,1.4183,0.3058,0.0781,0.25,0.45,1.0,1.0,0.0,0.0,1,0.2555,,,,,,,,,,,,,,,,,
Newcastle United,Premier League,24,38605,0.1695,0.1186,1.2356,0.9279,0.48,0.2782,0.48,0.14,0.1469,0.0982,1.1635,0.3571,8,0.5796,,,,,,,,,,,,,,,,,
Nice,Ligue 1,30,32728,0.1933,0.128,1.3062,0.9487,0.5538,0.3257,0.5,0.2647,0.0846,0.0945,1.3561,0.375,8,0.5881,,,,,,,,,,,,,,,,,
"Nice,Rennes",Ligue 1,1,1411,0.0542,0.0983,1.2757,0.9568,0.3964,0.3517,0.2174,0.2174,1.0,1.0,0.0,0.2,1,0.8873,,,,,,,,,,,,,,,,,
Nottingham Forest,Premier League,22,37230,0.1304,0.0919,1.1144,0.7977,0.317,0.1793,0.5,0.2105,0.1337,0.099,1.0575,0.375,7,0.5656,,,,,,,,,,,,,,,,,
"Nottingham Forest,West Ham",Premier League,1,1449,0.0804,0.2026,0.8696,1.4907,0.344,0.181,0.5,0.25,1.0,1.0,0.0,0.2857,1,0.5262,,,,,,,,,,,,,,,,,
Osasuna,La Liga,24,34660,0.1255,0.0856,1.0594,0.766,0.2719,0.1445,0.3158,0.4211,0.2151,0.0943,1.4926,0.25,7,0.5315,,,,,,,,,,,,,,,,,
