entity,entity_type,cell_x,cell_y,xT
AC Milan,team,14,3,0.076389
AC Milan,team,14,4,0.041171
AC Milan,team,14,5,0.106042
AC Milan,team,14,6,0.258685
AC Milan,team,14,7,0.198133
AC Milan,team,14,8,0.061704
AC Milan,team,14,9,0.0
AC Milan,team,14,10,0.0
AC Milan,team,14,11,0.0
AC Milan,team,15,0,0.0
AC Milan,team,15,1,0.0
AC Milan,team,15,2,0.0
AC Milan,team,15,3,0.0
AC Milan,team,15,4,0.111111
AC Milan,team,15,5,0.25
AC Milan,team,15,6,0.238095
AC Milan,team,15,7,0.111111
AC Milan,team,15,8,0.0
AC Milan,team,15,9,0.0
AC Milan,team,15,10,0.0
AC Milan,team,15,11,0.0
Alaves,team,0,0,0.0
Alaves,team,0,1,0.0
Alaves,team,0,2,0.0
Alaves,team,0,3,0.0
Alaves,team,0,4,0.0
Alaves,team,0,5,0.0
Alaves,team,0,6,0.0
Alaves,team,0,7,0.0
Alaves,team,0,8,0.0
Alaves,team,0,9,0.0
Alaves,team,0,10,0.0
Alaves,team,0,11,0.0
Alaves,team,1,0,0.0
Alaves,team,1,1,0.0
Alaves,team,1,2,0.0
Alaves,team,1,3,0.0
Alaves,team,1,4,0.0
Alaves,team,1,5,0.0
Alaves,team,1,6,0.0
Alaves,team,1,7,0.0
Alaves,team,1,8,0.0
Alaves,team,1,9,0.0
Alaves,team,1,10,0.0
Alaves,team,1,11,0.0
Alaves,team,2,0,0.0
Alaves,team,2,1,0.0
Alaves,team,2,2,0.0
Alaves,team,2,3,0.0
Alaves,team,2,4,0.0
Alaves,team,2,5,0.0
Alaves,team,2,6,0.0
Alaves,team,2,7,0.0
Alaves,team,2,8,0.0
Alaves,team,2,9,0.0
Alaves,team,2,10,0.0
Alaves,team,2,11,0.0
Alaves,team,3,0,0.0
Alaves,team,3,1,0.0
Alaves,team,3,2,0.0
Alaves,team,3,3,0.0
Alaves,team,3,4,0.0
Alaves,team,3,5,0.0
Alaves,team,3,6,0.0
Alaves,team,3,7,0.0
Alaves,team,3,8,0.0
Alaves,team,3,9,0.0
Alaves,team,3,10,0.0
Alaves,team,3,11,0.0
Alaves,team,4,0,0.0
Alaves,team,4,1,0.0
Alaves,team,4,2,0.0
Alaves,team,4,3,0.0
Alaves,team,4,4,0.0
Alaves,team,4,5,0.0
Alaves,team,4,6,0.0
Alaves,team,4,7,0.0
Alaves,team,4,8,0.0
Alaves,team,4,9,0.0
Alaves,team,4,10,0.0
Alaves,team,4,11,0.0
Alaves,team,5,0,0.0
Alaves,team,5,1,0.0
Alaves,team,5,2,0.0
Alaves,team,5,3,0.0
Alaves,team,5,4,0.0
Alaves,team,5,5,0.0
Alaves,team,5,6,0.0
Alaves,team,5,7,0.0
Alaves,team,5,8,0.0
Alaves,team,5,9,0.0
Alaves,team,5,10,0.0
Alaves,team,5,11,0.0
Alaves,team,6,0,0.0
Alaves,team,6,1,0.0
Alaves,team,6,2,0.0
Alaves,team,6,3,0.0
Alaves,team,6,4,0.0
Alaves,team,6,5,0.0
Alaves,team,6,6,0.0
Alaves,team,6,7,0.0
Alaves,team,6,8,0.0
Alaves,team,6,9,0.0
Alaves,team,6,10,0.0
Alaves,team,6,11,0.0
Alaves,team,7,0,0.0
Alaves,team,7,1,0.0
Alaves,team,7,2,0.0
Alaves,team,7,3,0.0
Alaves,team,7,4,0.0
Alaves,team,7,5,0.0
Alaves,team,7,6,0.0
Alaves,team,7,7,0.0
Alaves,team,7,8,0.0
Alaves,team,7,9,0.0
Alaves,team,7,10,0.0
Alaves,team,7,11,0.0
Alaves,team,8,0,0.0
Alaves,team,8,1,0.0
Alaves,team,8,2,0.0
Alaves,team,8,3,0.0
Alaves,team,8,4,0.0
Alaves,team,8,5,0.0
Alaves,team,8,6,0.0
Alaves,team,8,7,0.0
Alaves,team,8,8,0.0
Alaves,team,8,9,0.0
Alaves,team,8,10,0.0
Alaves,team,8,11,0.0
Alaves,team,9,0,0.0
Alaves,team,9,1,0.0
Alaves,team,9,2,0.0
Alaves,team,9,3,0.0
Alaves,team,9,4,0.0
Alaves,team,9,5,0.029351
Alaves,team,9,6,0.091345
Alaves,team,9,7,0.0
Alaves,team,9,8,0.0
Alaves,team,9,9,0.043506
Alaves,team,9,10,0.0
Alaves,team,9,11,0.0
Alaves,team,10,0,0.0
Alaves,team,10,1,0.0
Alaves,team,10,2,0.03331
Alaves,team,10,3,0.058526
Alaves,team,10,4,0.048801
Alaves,team,10,5,0.069799
Alaves,team,10,6,0.061374
Alaves,team,10,7,0.063053
Alaves,team,10,8,0.076117
Alaves,team,10,9,0.047271
Alaves,team,10,10,0.0
Alaves,team,10,11,0.0
Alaves,team,11,0,0.0
Alaves,team,11,1,0.0
Alaves,team,11,2,0.084487
Alaves,team,11,3,0.031485
Alaves,team,11,4,0.031737
Alaves,team,11,5,0.1003
Alaves,team,11,6,0.028013
Alaves,team,11,7,0.091918
Alaves,team,11,8,0.043714
Alaves,team,11,9,0.077666
Alaves,team,11,10,0.0
Alaves,team,11,11,0.0
Alaves,team,12,0,0.0
Alaves,team,12,1,0.0
Alaves,team,12,2,0.022622
Alaves,team,12,3,0.034687
Alaves,team,12,4,0.072676
Alaves,team,12,5,0.057786
Alaves,team,12,6,0.086929
Alaves,team,12,7,0.047295
Alaves,team,12,8,0.118613
Alaves,team,12,9,0.06233
Alaves,team,12,10,0.0
Alaves,team,12,11,0.0
Alaves,team,13,0,0.0
Alaves,team,13,1,0.0
Alaves,team,13,2,0.0
Alaves,team,13,3,0.033937
Alaves,team,13,4,0.158482
Alaves,team,13,5,0.156392
Alaves,team,13,6,0.136597
Alaves,team,13,7,0.077675
Alaves,team,13,8,0.121983
Alaves,team,13,9,0.059938
Alaves,team,13,10,0.0
Alaves,team,13,11,0.0
Alaves,team,14,0,0.0
Alaves,team,14,1,0.0
Alaves,team,14,2,0.0
Alaves,team,14,3,0.0
Alaves,team,14,4,0.0
Alaves,team,14,5,0.137115
Alaves,team,14,6,0.246305
Alaves,team,14,7,0.049689
Alaves,team,14,8,0.0
Alaves,team,14,9,0.0
Alaves,team,14,10,0.0
Alaves,team,14,11,0.0
Alaves,team,15,0,0.0
Alaves,team,15,1,0.0
Alaves,team,15,2,0.0
Alaves,team,15,3,0.0
Alaves,team,15,4,0.0
Alaves,team,15,5,0.142857
Alaves,team,15,6,0.3
Alaves,team,15,7,0.25
Alaves,team,15,8,0.0
Alaves,team,15,9,0.0
Alaves,team,15,10,0.0
Alaves,team,15,11,0.0
Angers,team,0,0,0.0
Angers,team,0,1,0.0
Angers,team,0,2,0.0
Angers,team,0,3,0.0
Angers,team,0,4,0.0
Angers,team,0,5,0.0
Angers,team,0,6,0.0
Angers,team,0,7,0.0
Angers,team,0,8,0.0
Angers,team,0,9,0.0
Angers,team,0,10,0.0
Angers,team,0,11,0.0
Angers,team,1,0,0.0
Angers,team,1,1,0.0
Angers,team,1,2,0.0
Angers,team,1,3,0.0
Angers,team,1,4,0.0
Angers,team,1,5,0.0
Angers,team,1,6,0.0
Angers,team,1,7,0.0
Angers,team,1,8,0.0
Angers,team,1,9,0.0
Angers,team,1,10,0.0
Angers,team,1,11,0.0
Angers,team,2,0,0.0
Angers,team,2,1,0.0
Angers,team,2,2,0.0
Angers,team,2,3,0.0
Angers,team,2,4,0.0
Angers,team,2,5,0.0
Angers,team,2,6,0.0
Angers,team,2,7,0.0
Angers,team,2,8,0.0
Angers,team,2,9,0.0
Angers,team,2,10,0.0
Angers,team,2,11,0.0
Angers,team,3,0,0.0
Angers,team,3,1,0.0
Angers,team,3,2,0.0
Angers,team,3,3,0.0
Angers,team,3,4,0.0
Angers,team,3,5,0.0
Angers,team,3,6,0.0
Angers,team,3,7,0.0
Angers,team,3,8,0.0
Angers,team,3,9,0.0
Angers,team,3,10,0.0
Angers,team,3,11,0.0
Angers,team,4,0,0.0
Angers,team,4,1,0.0
Angers,team,4,2,0.0
Angers,team,4,3,0.0
Angers,team,4,4,0.0
Angers,team,4,5,0.0
Angers,team,4,6,0.0
Angers,team,4,7,0.0
Angers,team,4,8,0.0
Angers,team,4,9,0.0
Angers,team,4,10,0.0
Angers,team,4,11,0.0
Angers,team,5,0,0.0
Angers,team,5,1,0.0
Angers,team,5,2,0.0
Angers,team,5,3,0.0
Angers,team,5,4,0.0
Angers,team,5,5,0.0
Angers,team,5,6,0.0
Angers,team,5,7,0.0
Angers,team,5,8,0.0
Angers,team,5,9,0.0
Angers,team,5,10,0.0
Angers,team,5,11,0.0
Angers,team,6,0,0.0
Angers,team,6,1,0.0
Angers,team,6,2,0.0
Angers,team,6,3,0.0
Angers,team,6,4,0.0
Angers,team,6,5,0.0
Angers,team,6,6,0.0
Angers,team,6,7,0.0
Angers,team,6,8,0.0
Angers,team,6,9,0.0
Angers,team,6,10,0.0
Angers,team,6,11,0.0
Angers,team,7,0,0.0
Angers,team,7,1,0.0
Angers,team,7,2,0.0
Angers,team,7,3,0.0
Angers,team,7,4,0.0
Angers,team,7,5,0.0
Angers,team,7,6,0.0
Angers,team,7,7,0.0
Angers,team,7,8,0.0
Angers,team,7,9,0.0
Angers,team,7,10,0.0
Angers,team,7,11,0.0
Angers,team,8,0,0.0
Angers,team,8,1,0.0
Angers,team,8,2,0.0
Angers,team,8,3,0.0
Angers,team,8,4,0.0
Angers,team,8,5,0.0
Angers,team,8,6,0.0
Angers,team,8,7,0.0
Angers,team,8,8,0.0
Angers,team,8,9,0.0
Angers,team,8,10,0.0
Angers,team,8,11,0.0
Angers,team,9,0,0.0
Angers,team,9,1,0.0
Angers,team,9,2,0.234422
Angers,team,9,3,0.046034
Angers,team,9,4,0.037391
Angers,team,9,5,0.0
Angers,team,9,6,0.0
Angers,team,9,7,0.0
Angers,team,9,8,0.01198
Angers,team,9,9,0.0
Angers,team,9,10,0.0
Angers,team,9,11,0.0
Angers,team,10,0,0.0
Angers,team,10,1,0.037391
Angers,team,10,2,0.0
Angers,team,10,3,0.063709
Angers,team,10,4,0.238622
Angers,team,10,5,0.044661
Angers,team,10,6,0.030805
Angers,team,10,7,0.040368
Angers,team,10,8,0.018296
Angers,team,10,9,0.024612
Angers,team,10,10,0.0
Angers,team,10,11,0.0
Angers,team,11,0,0.0
Angers,team,11,1,0.053322
Angers,team,11,2,0.061329
Angers,team,11,3,0.038189
Angers,team,11,4,0.047408
Angers,team,11,5,0.029666
Angers,team,11,6,0.039308
Angers,team,11,7,0.012076
Angers,team,11,8,0.029007
Angers,team,11,9,0.027609
Angers,team,11,10,0.0
Angers,team,11,11,0.0
Angers,team,12,0,0.0
Angers,team,12,1,0.0
Angers,team,12,2,0.17963
Angers,team,12,3,0.053322
Angers,team,12,4,0.071623
Angers,team,12,5,0.063835
Angers,team,12,6,0.05731
Angers,team,12,7,0.061211
Angers,team,12,8,0.024612
Angers,team,12,9,0.031378
Angers,team,12,10,0.0
Angers,team,12,11,0.0
Angers,team,13,0,0.0
Angers,team,13,1,0.0
Angers,team,13,2,0.0
Angers,team,13,3,0.059259
Angers,team,13,4,0.071296
Angers,team,13,5,0.204039
Angers,team,13,6,0.084069
Angers,team,13,7,0.088218
Angers,team,13,8,0.073214
Angers,team,13,9,0.0
Angers,team,13,10,0.0
Angers,team,13,11,0.0
Angers,team,14,0,0.0
Angers,team,14,1,0.0
Angers,team,14,2,0.0
Angers,team,14,3,0.3
Angers,team,14,4,0.183333
Angers,team,14,5,0.166667
Angers,team,14,6,0.2
Angers,team,14,7,0.275
Angers,team,14,8,0.0
Angers,team,14,9,0.0
Angers,team,14,10,0.0
Angers,team,14,11,0.0
Angers,team,15,0,0.0
Angers,team,15,1,0.0
Angers,team,15,2,0.0
Angers,team,15,3,0.0
Angers,team,15,4,0.5
Angers,team,15,5,0.375
Angers,team,15,6,0.2
Angers,team,15,7,0.0
Angers,team,15,8,0.0
Angers,team,15,9,0.0
Angers,team,15,10,0.0
Angers,team,15,11,0.0
Arsenal,team,0,0,0.0
Arsenal,team,0,1,0.0
Arsenal,team,0,2,0.0
Arsenal,team,0,3,0.0
Arsenal,team,0,4,0.0
Arsenal,team,0,5,0.0
Arsenal,team,0,6,0.0
Arsenal,team,0,7,0.0
Arsenal,team,0,8,0.0
Arsenal,team,0,9,0.0
Arsenal,team,0,10,0.0
Arsenal,team,0,11,0.0
Arsenal,team,1,0,0.0
Arsenal,team,1,1,0.0
Arsenal,team,1,2,0.0
Arsenal,team,1,3,0.0
Arsenal,team,1,4,0.0
Arsenal,team,1,5,0.0
Arsenal,team,1,6,0.0
Arsenal,team,1,7,0.0
Arsenal,team,1,8,0.0
Arsenal,team,1,9,0.0
Arsenal,team,1,10,0.0
Arsenal,team,1,11,0.0
Arsenal,team,2,0,0.0
Arsenal,team,2,1,0.0
Arsenal,team,2,2,0.0
Arsenal,team,2,3,0.0
Arsenal,team,2,4,0.0
Arsenal,team,2,5,0.0
Arsenal,team,2,6,0.0
Arsenal,team,2,7,0.0
Arsenal,team,2,8,0.0
Arsenal,team,2,9,0.0
Arsenal,team,2,10,0.0
Arsenal,team,2,11,0.0
Arsenal,team,3,0,0.0
Arsenal,team,3,1,0.0
Arsenal,team,3,2,0.0
Arsenal,team,3,3,0.0
Arsenal,team,3,4,0.0
Arsenal,team,3,5,0.0
Arsenal,team,3,6,0.0
Arsenal,team,3,7,0.0
Arsenal,team,3,8,0.0
Arsenal,team,3,9,0.0
Arsenal,team,3,10,0.0
Arsenal,team,3,11,0.0
Arsenal,team,4,0,0.0
Arsenal,team,4,1,0.0
Arsenal,team,4,2,0.0
Arsenal,team,4,3,0.0
Arsenal,team,4,4,0.0
Arsenal,team,4,5,0.0
Arsenal,team,4,6,0.0
Arsenal,team,4,7,0.0
Arsenal,team,4,8,0.0
Arsenal,team,4,9,0.0
Arsenal,team,4,10,0.0
Arsenal,team,4,11,0.0
Arsenal,team,5,0,0.0
Arsenal,team,5,1,0.0
Arsenal,team,5,2,0.0
Arsenal,team,5,3,0.0
Arsenal,team,5,4,0.0
Arsenal,team,5,5,0.0
Arsenal,team,5,6,0.0
Arsenal,team,5,7,0.0
Arsenal,team,5,8,0.0
Arsenal,team,5,9,0.0
Arsenal,team,5,10,0.0
Arsenal,team,5,11,0.0
Arsenal,team,6,0,0.0
Arsenal,team,6,1,0.0
Arsenal,team,6,2,0.0
Arsenal,team,6,3,0.0
Arsenal,team,6,4,0.0
Arsenal,team,6,5,0.0
Arsenal,team,6,6,0.0
Arsenal,team,6,7,0.0
Arsenal,team,6,8,0.0
Arsenal,team,6,9,0.0
Arsenal,team,6,10,0.0
Arsenal,team,6,11,0.0
Arsenal,team,7,0,0.0
Arsenal,team,7,1,0.0
Arsenal,team,7,2,0.0
Arsenal,team,7,3,0.0
Arsenal,team,7,4,0.0
Arsenal,team,7,5,0.0
Arsenal,team,7,6,0.0
Arsenal,team,7,7,0.0
Arsenal,team,7,8,0.0
Arsenal,team,7,9,0.0
Arsenal,team,7,10,0.0
Arsenal,team,7,11,0.0
Arsenal,team,8,0,0.0
Arsenal,team,8,1,0.0
Arsenal,team,8,2,0.0
Arsenal,team,8,3,0.0
Arsenal,team,8,4,0.0
Arsenal,team,8,5,0.0
Arsenal,team,8,6,0.0
Arsenal,team,8,7,0.0
Arsenal,team,8,8,0.0
Arsenal,team,8,9,0.0
Arsenal,team,8,10,0.0
Arsenal,team,8,11,0.0
Arsenal,team,9,0,0.0
Arsenal,team,9,1,0.0
Arsenal,team,9,2,0.0
Arsenal,team,9,3,0.0
Arsenal,team,9,4,0.0
Arsenal,team,9,5,0.072687
Arsenal,team,9,6,0.0
Arsenal,team,9,7,0.0
Arsenal,team,9,8,0.0
Arsenal,team,9,9,0.0
Arsenal,team,9,10,0.0
Arsenal,team,9,11,0.0
Arsenal,team,10,0,0.0
Arsenal,team,10,1,0.0
Arsenal,team,10,2,0.0
Arsenal,team,10,3,0.055224
Arsenal,team,10,4,0.066521
Arsenal,team,10,5,0.107289
Arsenal,team,10,6,0.098819
Arsenal,team,10,7,0.106033
Arsenal,team,10,8,0.036903
Arsenal,team,10,9,0.0
Arsenal,team,10,10,0.0
Arsenal,team,10,11,0.0
Arsenal,team,11,0,0.0
Arsenal,team,11,1,0.0
Arsenal,team,11,2,0.078917
Arsenal,team,11,3,0.08722
Arsenal,team,11,4,0.074451
Arsenal,team,11,5,0.068447
Arsenal,team,11,6,0.094951
Arsenal,team,11,7,0.101018
Arsenal,team,11,8,0.083639
Arsenal,team,11,9,0.081037
Arsenal,team,11,10,0.0
Arsenal,team,11,11,0.0
Arsenal,team,12,0,0.0
Arsenal,team,12,1,0.03632
Arsenal,team,12,2,0.06351
Arsenal,team,12,3,0.055384
Arsenal,team,12,4,0.114591
Arsenal,team,12,5,0.112408
Arsenal,team,12,6,0.126283
Arsenal,team,12,7,0.073915
Arsenal,team,12,8,0.126636
